address;postal_code;city;url
Vlaamsegas 2;6511HR;Nijmegen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijmegen-vlaamsegas-d630317ca8554edc9ca738d360875d38.html
Weg door Jonkerbos 26;6532SZ;Nijmegen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijmegen-weg-door-jonkerbos-24-7-8d7d110763754d2d941ad9655461a7f4.html
Corellistraat 6;5344AG;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-corellistraat-24-7-e0ffb68a06404ac58bcf4a30b151ed38.html
Euterpelaan 19;5344CA;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-euterpelaan-24-7-71ca394cdec84fc3ab78ac464b0d9f00.html
Nelson Mandelaboulevard 20;5342CZ;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-nelson-mandelaboulevard-471f37754d844e0ba38838c4e4469e73.html
Dreef 10;7202AG;Zutphen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zutphen-dreef-24-7-fecb36b1d8e8426fb6a3f0c546d4f8bd.html
Boreelplein 8;7411EH;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-boreelplein-203da793d37840fba613f88d0e0379d1.html
Waagstraat 81;8232DR;Lelystad;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-lelystad-de-waag-fcdc3408b1e84a18af00be469576a411.html
Hannoverstraat 3b;7418BL;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-hannoverstraat-24-7-6d3b45677a774b9b9fa8fd8a22d82f2e.html
Badweg 10;8223PA;Lelystad;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-lelystad-badweg-24-7-88a3ab1fae99420dbb4797ad07ec3774.html
Smeenkhof 10;7429AX;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-smeenkhof-c36d9f0288b24c92b310b4c96dc9020a.html
Bijlmerdreef 1289;1103TV;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-bijlmerdreef-715f8da4a3064bc8a1a179ec28f3612d.html
Botnische Golf 7;3446CN;Woerden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-woerden-botnische-golf-24-7-1ff0a42eeb2645d39c00578ec85b8673.html
Groote Vlietlaan 15;5245PA;Rosmalen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rosmalen-groote-vlietlaan-24-7-b2fa4fa6e32b4f4e96474f1919b276cc.html
Willem de Zwijgerlaan 2;1111ZS;Diemen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-diemen-willem-de-zwijgerlaan-24-7-0d213fa4c5994932a77b6c9939a963f7.html
Van Helvoortlaan 42;3443AP;Woerden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-woerden-van-helvoortlaan-24-7-b5e69071e1a544d8aa1a78c4844338e0.html
Muiderstraatweg 14;1111PS;Diemen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-diemen-muiderstraatweg-e79ee759850d461fb7628d6f57998b7a.html
Johan Cruijffboulevard 55-57;1101DL;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-johan-cruijffboulevard-24-7-4b5d05e4851d431c998bd74c97df2aad.html
Spinding 6;5431SN;Cuijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-cuijk-spinding-24-7-48ddabaf6fc14df596f22d673b0c769d.html
Vluchtoord 5a;5406XP;Uden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-uden-vluchtoord-24-7-78e011ee655a40bf94f31a833b1a728e.html
Victorialaan 13;5213JG;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-victorialaan-24-7-f4b5fb4646c84080b9489954f8424d60.html
De Maten 10;8265VA;Kampen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-kampen-de-maten-24-7-0c4c3f0602074129b5ca53a78d64dc40.html
Keppelseweg 26;7001CG;Doetinchem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-doetinchem-keppelseweg-24-7-ccc44c6dff4c4bffb852924e301fe359.html
Burgemeester van Nispenstraat 18a;7001BS;Doetinchem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-doetinchem-burgemeester-van-nispenstraat-24-7-dc56864b962940c184737c0a9ebe9191.html
Arent Janszoon Ernststr 1;1083GP;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-a.j.-ernststraat-a4f495da42194d8fb3315a460c68fef0.html
Oude Vlijmenseweg 186;5223GT;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-oude-vlijmenseweg-3ace612a3676490fa1d6e1369168db99.html
Europaboulevard 21;1079PC;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-europaboulevard-ladies-65152669510f4e0aa6c0ea11bd3bf2c8.html
Pastoor de Kroonstraat 12;5211SP;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-pastoor-de-kroonstraat-24-7-1950496007d3488e8cb8c3a946d810ea.html
Industrielaan 14;5405AB;Uden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-uden-industrielaan-24-7-308fec51e8d144f8afb95a9363dffa15.html
Amstelstraat 22;1017DA;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-amstelstraat-24-7-81a412d2a7dd4b9a80389a1708840a66.html
Stadhouderskade 74-75;1072AE;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-stadhouderskade-24-7-6d8eb0356e324f8196fbe8d0983d5dda.html
Overtoom 37-43;1054HB;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-overtoom-ladies-870e5b598e4445ef8ede94b2e0c4cb3f.html
Distelweg 80;1031HH;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-distelweg-24-7-4371c8ef4b0740c29812a1ce28778cae.html
Kleermakersgroes 14;6591KH;Gennep;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-gennep-kleermakersgroes-2ca35eb736304512b7824fcc3aec9536.html
Overtoom 1;8043LZ;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-stadshagen-24-7-9d6c4a342bd242bda769a74fa1a19fe3.html
Sportpark Kadoelen 4;1035NB;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sportpark-kadoelen-24-7-234d70b1665d49c892f18b82580b6e00.html
