address;postal_code;city;url;x;y
Graaf Florisweg 2;3434DZ;Nieuwegein;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nieuwegein-graaf-florisweg-7d20c1bf79d64b45aa93f44b824c4b68.html;5.0967264;52.0157338
Sumatraweg 22;1335JM;Almere;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almere-sumatraweg-24-7-6dbd027af14447b7a0eb582869d440dd.html;5.295151650000008;52.400510350000005
Middenwetering 21;3543AR;Utrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-utrecht-middenwetering-24-7-72b644c8f58e480caee19bbec3bf0d09.html;5.0520652;52.1062216
Donjon 9;1315XH;Almere;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almere-donjon-24-7-ab5c20f072ab45c5ae4dd34cd8962bf2.html;5.2204288;52.3697091
Corridor 7;1315TN;Almere;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almere-corridor-ladies-133ed6efb9b34ea89628d75d96ff18b4.html;5.2193247;52.3694839
Kerkenbos 1115;6546BC;Nijmegen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijmegen-kerkenbos-647daab03c8d4517a522f2f9c3c32332.html;5.7879683;51.8255085
Kelvinstraat 1;6601HH;Wijchen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-wijchen-kelvinstraat-24-7-8f590cf23e684da8900a0d87d4c43f5b.html;5.7457702;51.8151051
Zonnebaan 22;3542EE;Utrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-utrecht-zonnebaan-3403439e55a645898e04f70b6303a0f2.html;5.0407858;52.1191993
Vlaamsegas 2;6511HR;Nijmegen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijmegen-vlaamsegas-d630317ca8554edc9ca738d360875d38.html;5.8630886;51.8435717
Weg door Jonkerbos 26;6532SZ;Nijmegen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijmegen-weg-door-jonkerbos-24-7-8d7d110763754d2d941ad9655461a7f4.html;5.8302375;51.8124048
Corellistraat 6;5344AG;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-corellistraat-24-7-e0ffb68a06404ac58bcf4a30b151ed38.html;5.5086288;51.7580115
Euterpelaan 19;5344CA;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-euterpelaan-24-7-71ca394cdec84fc3ab78ac464b0d9f00.html;5.5124599;51.7572933
Nelson Mandelaboulevard 20;5342CZ;Oss;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oss-nelson-mandelaboulevard-471f37754d844e0ba38838c4e4469e73.html;5.5270438;51.7548653
Dreef 10;7202AG;Zutphen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zutphen-dreef-24-7-fecb36b1d8e8426fb6a3f0c546d4f8bd.html;6.1953684;52.1478945
Boreelplein 8;7411EH;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-boreelplein-203da793d37840fba613f88d0e0379d1.html;6.1658677;52.2534493
Waagstraat 81;8232DR;Lelystad;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-lelystad-de-waag-fcdc3408b1e84a18af00be469576a411.html;5.4738099;52.5110475
Hannoverstraat 3b;7418BL;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-hannoverstraat-24-7-6d3b45677a774b9b9fa8fd8a22d82f2e.html;6.1978067;52.2461858
Badweg 10;8223PA;Lelystad;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-lelystad-badweg-24-7-88a3ab1fae99420dbb4797ad07ec3774.html;5.496582585662292;52.52105215
Smeenkhof 10;7429AX;Deventer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deventer-smeenkhof-c36d9f0288b24c92b310b4c96dc9020a.html;6.2313581;52.2500772
Bijlmerdreef 1289;1103TV;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-bijlmerdreef-715f8da4a3064bc8a1a179ec28f3612d.html;4.9766143;52.3228477
Botnische Golf 7;3446CN;Woerden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-woerden-botnische-golf-24-7-1ff0a42eeb2645d39c00578ec85b8673.html;4.902197;52.0768705
Groote Vlietlaan 15;5245PA;Rosmalen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rosmalen-groote-vlietlaan-24-7-b2fa4fa6e32b4f4e96474f1919b276cc.html;5.3473604;51.7239994
Willem de Zwijgerlaan 2;1111ZS;Diemen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-diemen-willem-de-zwijgerlaan-24-7-0d213fa4c5994932a77b6c9939a963f7.html;4.9701192;52.339226
Van Helvoortlaan 42;3443AP;Woerden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-woerden-van-helvoortlaan-24-7-b5e69071e1a544d8aa1a78c4844338e0.html;4.8851915;52.0934741
Muiderstraatweg 14;1111PS;Diemen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-diemen-muiderstraatweg-e79ee759850d461fb7628d6f57998b7a.html;4.9629639;52.3380791
Johan Cruijff Boulevard 55;1101DL;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-johan-cruijffboulevard-24-7-4b5d05e4851d431c998bd74c97df2aad.html;4.9413528;52.3130625
Spinding 6;5431SN;Cuijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-cuijk-spinding-24-7-48ddabaf6fc14df596f22d673b0c769d.html;5.8651149;51.7308396
Vluchtoord 5a;5406XP;Uden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-uden-vluchtoord-24-7-78e011ee655a40bf94f31a833b1a728e.html;5.6455289;51.6759976
Victorialaan 13;5213JG;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-victorialaan-24-7-f4b5fb4646c84080b9489954f8424d60.html;5.3305929;51.7011373
De Maten 10;8265VA;Kampen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-kampen-de-maten-24-7-0c4c3f0602074129b5ca53a78d64dc40.html;5.9157562;52.5408413
Keppelseweg 26;7001CG;Doetinchem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-doetinchem-keppelseweg-24-7-ccc44c6dff4c4bffb852924e301fe359.html;6.2839953;51.9694156
Burgemeester van Nispenstraat 18a;7001BS;Doetinchem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-doetinchem-burgemeester-van-nispenstraat-24-7-dc56864b962940c184737c0a9ebe9191.html;6.2882996;51.9677902
Arent Janszoon Ernststr 1;1083GP;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-a.j.-ernststraat-a4f495da42194d8fb3315a460c68fef0.html;4.8892492;52.3318044
Oude Vlijmenseweg 186;5223GT;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-oude-vlijmenseweg-3ace612a3676490fa1d6e1369168db99.html;5.2858764;51.6954309
Europaboulevard 21;1079PC;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-europaboulevard-ladies-65152669510f4e0aa6c0ea11bd3bf2c8.html;4.892693;52.3387036
Pastoor de Kroonstraat 12;5211SP;Den Bosch;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-den-bosch-pastoor-de-kroonstraat-24-7-1950496007d3488e8cb8c3a946d810ea.html;5.3033094;51.691115
Industrielaan 14;5405AB;Uden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-uden-industrielaan-24-7-308fec51e8d144f8afb95a9363dffa15.html;5.6435302;51.6543071
Amstelstraat 22;1017DA;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-amstelstraat-24-7-81a412d2a7dd4b9a80389a1708840a66.html;4.8993621;52.3660989
Stadhouderskade 74-75;1072AE;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-stadhouderskade-24-7-6d8eb0356e324f8196fbe8d0983d5dda.html;4.8793399;52.3635954
Overtoom 37-43;1054HB;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-overtoom-ladies-870e5b598e4445ef8ede94b2e0c4cb3f.html;4.8713738;52.3615903
Distelweg 80;1031HH;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-distelweg-24-7-4371c8ef4b0740c29812a1ce28778cae.html;4.9027858;52.3940826
Kleermakersgroes 14;6591KH;Gennep;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-gennep-kleermakersgroes-2ca35eb736304512b7824fcc3aec9536.html;5.9657777;51.6954257
Overtoom 1;8043LZ;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-stadshagen-24-7-9d6c4a342bd242bda769a74fa1a19fe3.html;6.0571032;52.5345922
Sportpark Kadoelen 4;1035NB;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sportpark-kadoelen-24-7-234d70b1665d49c892f18b82580b6e00.html;4.9109564;52.4149018
Baarsjesweg 224;1058AA;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-baarsjesweg-24-7-57ac865b09364149b32d4d4652818c01.html;4.858174824263773;52.36347125
Prins Willem Alexander Sportpark 2;5461XL;Veghel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-veghel-prins-willem-alexander-sportpark-24-7-f6a2d4f0de354bf0a29eab5c6a4c8a42.html;5.5393739;51.6261674
Avantilaan 3;5482RE;Schijndel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-schijndel-avantilaan-24-7-1a14e75486c04bd7b1bb5ab00bd7e46d.html;5.4232775;51.6346014
Koningin Wilhelminaplein 13;1062HH;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-wfc-1bd19ff0981849b19081bbf0f20e1ac2.html;4.8411274;52.3545559
